fact_sales_id,product_key,business_partner_key,created_date_key,modified_date_key,employee_key,order_id,item_id,sls_order_product_id,sls_order_quantity,sls_order_net_amount,total_price,order_created_by,order_created_at,order_changed_by,order_changed_at,order_fiscal_variant,order_fiscal_year_period,order_partner_id,order_org,currency,order_gross_amount,order_net_amount,order_tax_amount,lifecycle_status,billing_status,delivery_status,dwh_create_date
11,5,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000050,BX-1015,9,261.625,2354.625,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
12,10,19,2895566243265439264,8041884244069597747,0000000005,0500000002,0000000060,CC-1021,4,1001.000,4004.000,0000000005,2018-01-15,0000000005,2018-01-20,K4,2018-01-31,0100000018,APJ,USD,45655,39948.125,5706.875,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
13,38,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000010,RC-1056,3,2186.625,6559.875,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
14,3,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000020,BX-1013,2,392.875,785.750,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
15,38,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000030,RC-1056,5,2186.625,10933.125,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
16,7,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000040,CB-1161,1,349.125,349.125,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
17,16,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000050,EB-1131,10,1312.500,13125.000,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
18,32,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000060,MB-1034,3,2186.625,6559.875,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
19,14,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000070,DB-1082,8,1093.750,8750.000,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
20,19,10,2895566243265439264,8041884244069597747,0000000003,0500000003,0000000080,EB-1134,10,4200.000,42000.000,0000000003,2018-01-15,0000000003,2018-01-20,K4,2018-01-31,0100000009,EMEA,USD,101786,89062.750,12723.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
21,4,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000010,BX-1014,3,699.125,2097.375,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
22,19,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000020,EB-1134,2,4200.000,8400.000,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
23,9,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000030,CB-1163,8,252.000,2016.000,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
24,3,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000040,BX-1013,6,392.875,2357.250,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
25,32,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000050,MB-1034,10,2186.625,21866.250,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
26,29,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000060,MB-1031,2,567.875,1135.750,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
27,33,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000070,RC-1051,10,2186.625,21866.250,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
28,26,26,-1270214420634245208,-3708745777030472903,0000000008,0500000004,0000000080,HB-1174,9,331.625,2984.625,0000000008,2018-01-16,0000000008,2018-01-17,K4,2018-01-31,0100000025,EMEA,USD,71684,62723.500,8960.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
29,36,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000010,RC-1054,10,4811.625,48116.250,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
30,10,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000020,CC-1021,3,1001.000,3003.000,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
31,34,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000030,RC-1052,9,3499.125,31492.125,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
32,1,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000040,BX-1011,10,217.875,2178.750,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
33,27,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000050,HB-1175,2,786.625,1573.250,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
34,41,9,-1270214420634245208,350901737619271512,0000000008,0500000005,0000000060,RO-1002,8,602.875,4823.000,0000000008,2018-01-16,0000000008,2018-01-19,K4,2018-01-31,0100000008,EMEA,USD,104213,91186.375,13026.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
35,22,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000010,EB-1137,5,6912.500,34562.500,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
36,9,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000020,CB-1163,8,252.000,2016.000,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
37,19,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000030,EB-1134,7,4200.000,29400.000,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
38,28,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000040,HB-1176,3,1049.125,3147.375,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
39,34,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000050,RC-1052,6,3499.125,20994.750,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
40,20,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000060,EB-1135,9,2625.000,23625.000,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
41,36,39,-8598636702600824124,8041884244069597747,0000000003,0500000006,0000000070,RC-1054,8,4811.625,38493.000,0000000003,2018-01-17,0000000003,2018-01-20,K4,2018-01-31,0100000038,EMEA,USD,173987,152238.625,21748.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
42,23,21,7541520962382213949,-2072556090686360855,0000000004,0500000007,0000000010,HB-1171,2,611.625,1223.250,0000000004,2018-01-19,0000000004,2018-01-21,K4,2018-01-31,0100000020,APJ,USD,1398,1223.250,174.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
43,22,29,4456666156881376771,-2662210619004973525,0000000003,0500000008,0000000010,EB-1137,10,6912.500,69125.000,0000000003,2018-01-20,0000000003,2018-01-22,K4,2018-01-31,0100000028,EMEA,USD,127803,111827.625,15975.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
44,11,29,4456666156881376771,-2662210619004973525,0000000003,0500000008,0000000020,CC-1022,6,1050.000,6300.000,0000000003,2018-01-20,0000000003,2018-01-22,K4,2018-01-31,0100000028,EMEA,USD,127803,111827.625,15975.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
45,12,29,4456666156881376771,-2662210619004973525,0000000003,0500000008,0000000030,CC-1023,10,1190.875,11908.750,0000000003,2018-01-20,0000000003,2018-01-22,K4,2018-01-31,0100000028,EMEA,USD,127803,111827.625,15975.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
46,34,29,4456666156881376771,-2662210619004973525,0000000003,0500000008,0000000040,RC-1052,7,3499.125,24493.875,0000000003,2018-01-20,0000000003,2018-01-22,K4,2018-01-31,0100000028,EMEA,USD,127803,111827.625,15975.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
47,4,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000010,BX-1014,9,699.125,6292.125,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
48,16,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000020,EB-1131,3,1312.500,3937.500,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
49,20,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000030,EB-1135,7,2625.000,18375.000,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
50,10,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000040,CC-1021,1,1001.000,1001.000,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
51,20,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000050,EB-1135,6,2625.000,15750.000,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
52,3,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000060,BX-1013,10,392.875,3928.750,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
53,13,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000070,DB-1081,10,1311.625,13116.250,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
54,7,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000080,CB-1161,8,349.125,2793.000,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
55,23,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000090,HB-1171,4,611.625,2446.500,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
56,27,22,-4151978490111433061,-2662210619004973525,0000000004,0500000009,0000000100,HB-1175,2,786.625,1573.250,0000000004,2018-01-21,0000000004,2018-01-22,K4,2018-01-31,0100000021,APJ,USD,79101,69213.375,9887.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
57,41,5,-6926499799352322962,-3649377475872898178,0000000001,0500000010,0000000010,RO-1002,10,602.875,6028.750,0000000001,2018-01-24,0000000001,2018-01-26,K4,2018-01-31,0100000004,AMER,USD,10322,9031.750,1290.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
58,10,5,-6926499799352322962,-3649377475872898178,0000000001,0500000010,0000000020,CC-1021,3,1001.000,3003.000,0000000001,2018-01-24,0000000001,2018-01-26,K4,2018-01-31,0100000004,AMER,USD,10322,9031.750,1290.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
59,30,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000010,MB-1032,8,1136.625,9093.000,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
60,40,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000020,RO-1001,3,459.375,1378.125,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
61,29,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000030,MB-1031,5,567.875,2839.375,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
62,6,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000040,BX-1016,1,279.125,279.125,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
63,17,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000050,EB-1132,1,1662.500,1662.500,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
64,20,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000060,EB-1135,9,2625.000,23625.000,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
65,36,21,7029308105879258730,6606714047327108616,0000000004,0500000011,0000000070,RC-1054,10,4811.625,48116.250,0000000004,2018-01-27,0000000004,2018-01-30,K4,2018-01-31,0100000020,APJ,USD,99421,86993.375,12427.625,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
66,28,23,7842703473980408879,-1168818822813796668,0000000004,0500000012,0000000010,HB-1176,9,1049.125,9442.125,0000000004,2018-01-30,0000000004,2018-02-04,K4,2018-01-31,0100000022,APJ,USD,15630,13676.250,1953.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
67,7,23,7842703473980408879,-1168818822813796668,0000000004,0500000012,0000000020,CB-1161,2,349.125,698.250,0000000004,2018-01-30,0000000004,2018-02-04,K4,2018-01-31,0100000022,APJ,USD,15630,13676.250,1953.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
68,3,23,7842703473980408879,-1168818822813796668,0000000004,0500000012,0000000030,BX-1013,9,392.875,3535.875,0000000004,2018-01-30,0000000004,2018-02-04,K4,2018-01-31,0100000022,APJ,USD,15630,13676.250,1953.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
69,40,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000010,RO-1001,3,459.375,1378.125,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
70,5,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000020,BX-1015,7,261.625,1831.375,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
71,37,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000030,RC-1055,8,1749.125,13993.000,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
72,40,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000040,RO-1001,5,459.375,2296.875,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
73,12,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000050,CC-1023,3,1190.875,3572.625,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
74,18,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000060,EB-1133,8,1968.750,15750.000,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
75,11,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000070,CC-1022,9,1050.000,9450.000,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
76,33,32,6366948963894052093,-6613769545991513664,0000000011,0500000013,0000000080,RC-1051,6,2186.625,13119.750,0000000011,2018-02-02,0000000011,2018-02-05,K4,2018-02-28,0100000031,AMER,USD,70162,61391.750,8770.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
77,7,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000010,CB-1161,3,349.125,1047.375,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
78,14,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000020,DB-1082,4,1093.750,4375.000,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
79,13,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000030,DB-1081,10,1311.625,13116.250,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
80,1,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000040,BX-1011,3,217.875,653.625,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
81,11,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000050,CC-1022,7,1050.000,7350.000,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
82,8,34,2977418835185042455,-6613769545991513664,0000000011,0500000014,0000000060,CB-1162,6,350.000,2100.000,0000000011,2018-02-03,0000000011,2018-02-05,K4,2018-02-28,0100000033,AMER,USD,32734,28642.250,4091.750,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
83,15,33,-8503274161481934845,4369759025219829416,0000000010,0500000015,0000000010,DB-1083,2,1049.125,2098.250,0000000010,2018-02-04,0000000010,2018-02-09,K4,2018-02-28,0100000032,AMER,USD,21194,18544.750,2649.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
84,8,33,-8503274161481934845,4369759025219829416,0000000010,0500000015,0000000020,CB-1162,7,350.000,2450.000,0000000010,2018-02-04,0000000010,2018-02-09,K4,2018-02-28,0100000032,AMER,USD,21194,18544.750,2649.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
85,31,33,-8503274161481934845,4369759025219829416,0000000010,0500000015,0000000030,MB-1033,4,3499.125,13996.500,0000000010,2018-02-04,0000000010,2018-02-09,K4,2018-02-28,0100000032,AMER,USD,21194,18544.750,2649.250,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
86,34,26,7996820323494838554,4930550573131116508,0000000008,0500000016,0000000010,RC-1052,4,3499.125,13996.500,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018-02-28,0100000025,EMEA,USD,40691,35604.625,5086.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
87,2,26,7996820323494838554,4930550573131116508,0000000008,0500000016,0000000020,BX-1012,1,349.125,349.125,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018-02-28,0100000025,EMEA,USD,40691,35604.625,5086.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
88,34,26,7996820323494838554,4930550573131116508,0000000008,0500000016,0000000030,RC-1052,4,3499.125,13996.500,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018-02-28,0100000025,EMEA,USD,40691,35604.625,5086.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
89,18,26,7996820323494838554,4930550573131116508,0000000008,0500000016,0000000040,EB-1133,2,1968.750,3937.500,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018-02-28,0100000025,EMEA,USD,40691,35604.625,5086.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
90,17,26,7996820323494838554,4930550573131116508,0000000008,0500000016,0000000050,EB-1132,2,1662.500,3325.000,0000000008,2018-02-05,0000000008,2018-02-10,K4,2018-02-28,0100000025,EMEA,USD,40691,35604.625,5086.375,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
91,39,31,6703215505801593244,2123760307781279205,0000000013,0500000017,0000000010,RC-1057,1,4374.125,4374.125,0000000013,2018-02-06,0000000013,2018-02-11,K4,2018-02-28,0100000030,AMER,USD,75228,65824.500,9403.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
92,15,31,6703215505801593244,2123760307781279205,0000000013,0500000017,0000000020,DB-1083,4,1049.125,4196.500,0000000013,2018-02-06,0000000013,2018-02-11,K4,2018-02-28,0100000030,AMER,USD,75228,65824.500,9403.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
93,35,31,6703215505801593244,2123760307781279205,0000000013,0500000017,0000000030,RC-1053,1,4024.125,4024.125,0000000013,2018-02-06,0000000013,2018-02-11,K4,2018-02-28,0100000030,AMER,USD,75228,65824.500,9403.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
94,13,31,6703215505801593244,2123760307781279205,0000000013,0500000017,0000000040,DB-1081,7,1311.625,9181.375,0000000013,2018-02-06,0000000013,2018-02-11,K4,2018-02-28,0100000030,AMER,USD,75228,65824.500,9403.500,Completed,Completed,Completed,2025-03-28 23:23:54.0033333
